COUNTYFP_vest,PCTNUM_vest,PRECINCTNA_vest,G20PREDBID_vest,COUNTYFP_sos,precinct_name_sos,G20PREDBID_sos
001,AP0002,ALPINE,94,001,02 ALPINE,94
001,AP0003,CANYON DE CHELLY,1982,001,03 CANYON DE CHELLY,1982
001,AP0005,CHINLE,989,001,05 CHINLE,989
001,AP0009,CONCHO,333,001,09 CONCHO,333
001,AP0010,CORNFIELDS,393,001,10 CORNFIELDS,393
001,AP0012,CORONADO,748,001,12 CORONADO,111
001,AP0011,COTTONWOOD,111,001,11 COTTONWOOD,748
001,AP0013,DENNEHOTSO,560,001,13 DENNEHOTSO,560
001,AP0016,EAGAR,159,001,16 EAGAR,159
001,AP0017,FLAT TOP,105,001,17 FLAT TOP,105
001,AP0019,FT DEFIANCE,1940,001,19 FT. DEFIANCE,1940
001,AP0022,GANADO NORTH,416,001,22 GANADO NORTH,416
001,AP0023,GANADO SOUTH,647,001,23 GANADO SOUTH,647
001,AP0025,GREER,42,001,25 GREER,42
001,AP0027,HOUCK,548,001,27 HOUCK,548
001,AP0029,KINLICHEE,591,001,29 KINLICHEE,591
001,AP0031,KLAGETOH,436,001,31 KLAGETOH,436
001,AP0033,LUKACHUKAI,889,001,33 LUKACHUKAI,889
001,AP0035,LUPTON,321,001,35 LUPTON,321
001,AP0039,MANY FARMS,1030,001,39 MANY FARMS,1030
001,AP0037,MCNARY,85,001,37 MCNARY,85
001,AP0041,MEXICAN WATER,135,001,41 MEXICAN WATER,135
001,AP0043,NAZLINI,554,001,43 NAZLINI,554
001,AP0045,NUTRIOSO,79,001,45 NUTRIOSO,79
001,AP0046,OAK SPRINGS,282,001,46 OAK SPRINGS,282
001,AP0048,PUERCO E/W,724,001,48 PUERCO,724
001,AP0051,RED MESA,173,001,51 RED MESA,173
001,AP0052,RED VALLEY,317,001,52 RED VALLEY,317
001,AP0054,ROCK POINT,802,001,54 ROCK POINT,802
001,AP0056,ROUGH ROCK,526,001,56 ROUGH ROCK,526
001,AP0058,ROUND ROCK,566,001,58 ROUND ROCK,566
001,AP0059,ROUND VALLEY,92,001,59 ROUND VALLEY,92
